InvoiceNo;ProductName;ProductCode;CustomerID;Quantity;UnitPrice;Revenue;PaymentMethod;Country;InvoiceDate
INV100000;"USB Keyboard";P1002;10106;7;239.98;1679.86;"Credit Card";Australia;9/28/2023
INV100002;"Noise Cancelling Headphones";P1009;10087;3;34.49;103.47;PayPal;Australia;4/3/2024
INV100003;"Gaming Mousepad";P1007;10130;5;182.33;911.65;"Debit Card";India;10/25/2024
INV100004;Unknown;P1007;10491;6;21.64;129.84;"Credit Card";UK;12/10/2023
INV100005;"USB Keyboard";P1002;10160;6;5.23;31.38;"Credit Card";UK;10/4/2023
INV100006;"USB-C Hub";P1008;10474;6;7.08;42.48;UPI;Canada;7/14/2024
INV100007;"LED Desk Lamp";P1010;10319;3;117.83;353.49;"Credit Card";India;9/1/2023
INV100008;"Bluetooth Speaker";P1004;10020;9;18.70;168.30;"Credit Card";France;10/8/2024
INV100009;"Gaming Mousepad";P1007;10088;9;24.19;217.71;UPI;UK;1/23/2024
INV100010;Unknown;P1004;10052;2;118.70;237.40;PayPal;India;12/12/2023
INV100011;"Laptop Stand";P1003;10443;2;206.85;413.70;PayPal;UK;1/2/2024
INV100012;"Bluetooth Speaker";P1004;10205;7;184.95;1294.65;"Credit Card";USA;2/4/2023
INV100013;"External Hard Drive";P1006;10001;1;81.34;81.34;UPI;Canada;1/23/2024
INV100014;"Bluetooth Speaker";P1004;10190;6;66.34;398.04;"Debit Card";Germany;4/21/2024
INV100015;"Webcam HD";P1005;10201;2;233.66;467.32;PayPal;Australia;6/11/2023
INV100016;"Gaming Mousepad";P1007;10455;4;181.38;725.52;PayPal;USA;9/28/2023
INV100017;"USB-C Hub";P1008;10212;7;158.65;1110.55;"Debit Card";Australia;10/23/2023
INV100018;"Gaming Mousepad";P1007;10251;2;164.21;328.42;PayPal;Germany;8/5/2023
INV100020;"Noise Cancelling Headphones";P1009;10491;7;129.90;909.30;"Net Banking";Unknown;5/9/2023
INV100021;"Laptop Stand";P1003;10498;8;6.63;53.04;PayPal;UK;5/19/2023
INV100022;"Laptop Stand";P1003;10288;1;214.85;214.85;PayPal;France;2/23/2024
